SK_ID_CURR,bubl_score
100002,0.4691416919231415
100010,0.4742398262023926
100019,0.5351175665855408
100032,0.42783957719802856
100033,0.4658380150794983
100037,0.40285277366638184
100043,0.4095976948738098
100048,0.5505624413490295
100050,0.43247559666633606
100054,0.4095976948738098
100059,0.4391694962978363
100060,0.3698047399520874
100061,0.43541184067726135
100062,0.3758637309074402
100063,0.6366046071052551
100064,0.5267170667648315
100069,0.5008131861686707
100072,0.4095976948738098
100076,0.5628194212913513
100078,0.5411487817764282
100084,0.4167748689651489
100099,0.5549538731575012
100100,0.39809226989746094
100105,0.44132766127586365
100112,0.4825577437877655
100113,0.3738904893398285
100124,0.39958107471466064
100131,0.5026528239250183
100132,0.5020835995674133
100135,0.4889105558395386
100138,0.5135244131088257
100139,0.5443019270896912
100142,0.39589282870292664
100145,0.41691651940345764
100146,0.57143634557724
100148,0.4493640661239624
100149,0.5353735685348511
100156,0.47289106249809265
100157,0.39817002415657043
100160,0.5814449787139893
100161,0.5059763193130493
100162,0.4915720522403717
100163,0.50910484790802
100167,0.47607165575027466
100175,0.3635574281215668
100176,0.444794625043869
100179,0.42337149381637573
100180,0.6058458089828491
100181,0.46276602149009705
100188,0.4376644790172577
100193,0.5261701345443726
100199,0.41217949986457825
100200,0.452698677778244
100201,0.5125668048858643
100204,0.5875561833381653
100211,0.5669045448303223
100213,0.42649123072624207
100218,0.534294843673706
100221,0.6761888861656189
100227,0.4040122926235199
100231,0.48384419083595276
100237,0.5737533569335938
100239,0.5176243782043457
100242,0.43683895468711853
100243,0.46136462688446045
100247,0.5739278793334961
100250,0.444794625043869
100252,0.44974249601364136
100255,0.41960832476615906
100263,0.4941742420196533
100264,0.40847447514533997
100265,0.43039917945861816
100267,0.5088585019111633
100269,0.45004284381866455
100276,0.4135257601737976
100283,0.44134679436683655
100284,0.5101444721221924
100289,0.3934010863304138
100291,0.6337377429008484
100292,0.4619322717189789
100294,0.4482746422290802
100298,0.5504584908485413
100301,0.6292535066604614
100302,0.6599419713020325
100303,0.48728612065315247
100307,0.44423243403434753
100308,0.4924442172050476
100315,0.38978317379951477
100316,0.40174564719200134
100318,0.4581466317176819
100321,0.41981208324432373
100322,0.3963933289051056
100327,0.4435883164405823
100332,0.3920734226703644
100333,0.46949583292007446
100342,0.644424319267273
100346,0.4743940830230713
100348,0.39513811469078064
